generic_name,dosage_form,is_available
Ranolazine Ranexa,tablet,1
Rebamipide,tablet,1
Regular Insulin Humulin R Per Unit,vial,1
Remdesivir,vial,1
Renakult,capsule,1
Renoguard,tablet,1
Rifaximin,tablet,1
Risedronate,tablet,1
Rocuronium,vial,1
Rosuvastatin,tablet,1
Sacubitril Valsartan,tablet,1
Salbutamol,nebule,1
Salbutamol Guaifenesin,syrup,1
Salbutamol Guiafenesin,syrup,1
Salbutamol Ipratropium,nebule,1
Salbutamol M,nebule,1
Salbutamol Mdi,,1
Serrapeptase,tablet,1
Sevelamer Carbonate,tablet,1
Sevoflurane,,1
Silver Sulfa,,1
Silver Sulfadiazine,cream,1
Silver Sulfadiazine G W W,cream,1
Silymarin Lecithin,capsule,1
Simeticone,drops,1
Sitagliptin Metformin,tablet,1
Spironolactone,tablet,1
Sqcef,suspension,1
Streptokinase,vial,1
Succinylcholine,vial,1
Sugammadex,,1
Sulodexide,capsule,1
Sultamicillin,tablet,1
Sultamicillin Tosylate,tablet,1
Suxamethonium Chloride,vial,1
Taurine Multivitamins,drops,1
Telmisartan,tablet,1
Telmisartan Amlodipine,tablet,1
Tempra,syrup,1
Tempra Orn,drops,1
Tempra Stw,drops,1
Terbutaline,,1
Tetanus Antitoxin,,1
Tetanus Toxiod,,1
Tetanus Toxoid,ampule,1
Tetanus Toxoid Hmo,ampule,1
Ticagrelor,tablet,1
Ticarcillin Clavulanic Acid,vial,1
Timolol Eye,drops,1
Tmultivitamins Iron,capsule,1
Tobramycin Dexamethasone,,1
Tolvaptan,tablet,1
Tramadol,ampule,1
Tramadol Caps,,1
Tramadol Hdl,ampule,1
Tramadol Iv,,1
Tramadol Paracetamol,tablet,1
Tranexamic,ampule,1
Tranexamic Acid,ampule,1
Trimedin,,1
Trimetazidine,tablet,1
Uridine Vit B Folic Acid,capsule,1
Ursodeoxycholic,tablet,1
Ursodeoxycholic Acid,capsule,1
Ursodeoxycholic Acid Caps,,1
Valsartan Hctz Vasar,tablet,1
Valsartan Hydrochlorothiazide,tablet,1
Vancomycin Iv,,1
Venamax,,1
Verapamil,ampule,1
Vildagliptin Metformin,tablet,1
Vitamin B B B Nicotinamide D Panthenol,ampule,1
Vitamin B Complex,tablet,1
Vitamin B Complex Iron Buclizine Lysine,syrup,1
Vitamin B Complex Iv,,1
Vitamins B B B,tablet,1
Vitamins Lysine Taurine Cgf Zinc,syrup,1
Warfarin,tablet,1
Xarelto,tablet,1
Xed,ampule,1
Xylitol Oral,gel,1
Zinc,syrup,1
Zobrixol,syrup,1
Zoledronic Acid,vial,1
